Job Title,Intitulé du poste
Hierarchical Reporting,Rattachement hiérarchique
Hierarchical Relation,Relation hiérarchique
Functional Reporting,Rattachement fonctionnel
General Mission,Mission générale
Job Details,Détails du poste
Authorities,Autorités / Délégations
Description of Tasks,Description des tâches
Job Access Criteria,Critères d'accès au poste
Basic Education,Formation de base
Professional Training,Formation professionnelle
Professional Experience,Expérience professionnelle
Special Conditions,Conditions particulières
Amended From,Modifié depuis
Job description,Fiche de poste
"Process sheet","Fiche de processus"
"Process Name","Nom du Processus"
"Process Owner","Pilote du Processus"
"Process Type","Type du Processus"
"Realization","Réalisation"
"Support","Support"
"Management","Management"
"Identification and Missions","Identification et Missions"
"Purpose and Missions","Finalité et Missions"
"Resources","Ressources"
"Human Resources","Ressources Humaines"
"Material Resources","Ressources Matérielles"
"Process Flow","Flux du Processus"
"Suppliers and Inputs","Fournisseurs et Éléments d'entrée"
"Customers and Outputs","Clients et Éléments de sortie"
"Activities Description","Description des Activités"
"Process Activities","Activités du Processus"
"Performance Measurement","Mesure de la Performance"
"Measurement Indicators","Indicateurs de Mesure"
"Ps activity item","Élément d'activité"
"Responsible","Responsable"
"Input Elements","Éléments d'entrée"
"Activities","Activités"
"Output Elements","Éléments de sortie"
"Operational Documents","Documents Opératoires"
"Records","Enregistrements"
"Ps flow item","Élément de flux"
"Entity (Supplier/Customer)","Entité (Fournisseur/Client)"
"Elements (Input/Output)","Éléments (Entrée/Sortie)"
"Ps indicator item","Élément d'indicateur"
"Indicator","Indicateur"
"Calculation Formula","Formule de Calcul"
"Target / Objective","Cible / Objectif"
"Frequency","Fréquence"
"Amended From","Modifié de"
